"fact_id","employeeid","jobid","attrition","businesstravel","dailyrate","hourlyrate","monthlyincome","monthlyrate","overtime","percentsalaryhike","performancerating","stockoptionlevel","totalworkingyears","yearsatcompany","yearsincurrentrole","yearssincelastpromotion","yearswithcurrmanager","environmentsatisfaction","jobsatisfaction","relationshipsatisfaction","distancefromhome","jobinvolvement","trainingtimelastyear","worklifebalance","numcompaniesworked"
1,1,21,False,"Travel_Rarely",202,72,2476,17434,"No",18,3,1,1,1,0,0,0,3,2,1,2,3,3,3,1
2,2,15,False,"Travel_Rarely",1130,66,5433,19332,"No",12,3,1,11,11,8,7,9,4,2,3,3,3,2,3,1
3,3,1,False,"Travel_Rarely",1465,63,3579,9369,"Yes",21,4,1,12,11,9,5,7,4,2,1,1,3,2,3,0
4,4,18,False,"Travel_Rarely",591,40,3468,16632,"No",12,3,1,6,2,2,2,2,1,2,4,2,3,3,3,9
5,5,1,False,"Travel_Rarely",371,45,3944,4306,"Yes",11,3,0,6,3,2,1,2,4,4,3,2,3,3,3,5
6,6,18,False,"Travel_Frequently",1297,53,2379,19826,"Yes",14,3,0,6,5,4,0,2,4,4,3,5,3,3,2,0
7,7,18,True,"Travel_Rarely",1485,79,2515,22955,"Yes",11,3,0,1,1,1,0,0,3,4,4,12,3,4,2,1
8,8,24,False,"Travel_Rarely",469,35,17665,14399,"No",17,3,1,23,22,6,13,7,4,1,4,2,3,3,3,0
9,9,9,False,"Travel_Rarely",1488,75,5454,4009,"Yes",21,4,1,9,4,3,1,3,2,1,3,1,3,2,2,5
10,10,9,True,"Travel_Rarely",1102,94,5993,19479,"Yes",11,3,0,8,6,4,0,5,2,4,1,1,3,0,1,8
11,11,1,False,"Travel_Rarely",465,74,3420,10205,"No",12,3,1,17,6,5,1,2,1,4,3,1,3,2,2,7
12,12,10,False,"Travel_Frequently",530,78,13503,14115,"No",22,4,1,22,22,3,11,11,3,2,4,1,2,3,2,1
13,13,1,False,"Travel_Rarely",1167,76,2517,3208,"No",11,3,3,5,5,3,0,3,1,3,2,4,3,2,3,1
14,14,11,True,"Travel_Frequently",234,93,5346,6208,"No",17,3,1,11,7,1,0,7,4,1,3,9,3,3,2,4
15,15,18,True,"Travel_Rarely",688,91,4031,9396,"No",13,3,1,6,2,2,0,2,1,1,3,3,3,5,3,5
16,16,18,False,"Travel_Rarely",1207,74,3221,3297,"Yes",11,3,3,20,20,8,3,8,4,3,3,28,4,3,3,1
17,17,16,False,"Travel_Rarely",1315,71,11996,19100,"No",18,3,1,10,7,7,6,2,2,2,2,22,4,6,2,7
18,18,18,False,"Travel_Rarely",1142,81,3968,13624,"No",13,3,0,8,0,0,0,0,4,3,4,8,3,3,3,4
19,19,1,False,"Travel_Rarely",180,65,3424,21632,"No",13,3,0,6,4,3,0,1,1,1,3,2,4,3,2,7
20,20,18,False,"Non-Travel",981,90,3162,7973,"No",14,3,0,7,5,2,0,3,3,3,4,5,2,5,3,3
21,21,22,False,"Travel_Rarely",939,95,13973,4161,"Yes",18,3,1,22,12,11,1,5,4,3,4,24,3,2,3,3
22,22,9,False,"Travel_Rarely",1216,39,7104,20431,"No",12,3,0,6,5,0,1,2,3,3,4,8,3,3,3,0
23,23,1,False,"Travel_Frequently",1312,96,2613,22310,"No",25,4,3,10,10,7,0,9,1,3,3,23,1,2,2,1
24,24,23,False,"Travel_Rarely",770,73,8740,5569,"Yes",14,3,2,9,8,7,2,7,3,3,2,10,2,2,3,0
25,25,26,False,"Travel_Rarely",488,75,16872,14977,"Yes",12,3,1,28,7,7,7,7,3,2,2,2,1,2,2,3
26,26,18,False,"Non-Travel",1351,66,2810,9238,"No",22,4,0,5,5,4,0,2,1,2,2,9,4,3,3,1
27,27,9,False,"Non-Travel",543,87,4978,3536,"No",11,3,1,4,1,0,0,0,3,2,4,2,3,3,1,7
28,28,1,False,"Travel_Rarely",254,83,3622,22794,"Yes",13,3,1,6,6,5,1,3,2,4,4,1,2,3,3,1
29,29,24,False,"Travel_Frequently",117,58,17174,2437,"No",11,3,1,24,22,17,4,7,4,4,2,22,3,3,3,3
30,30,30,False,"Travel_Frequently",648,56,4490,21833,"No",11,3,2,14,10,9,1,8,3,2,4,11,2,5,4,4
31,31,9,True,"Travel_Rarely",118,69,5324,26507,"No",15,3,0,6,3,2,0,2,1,1,3,16,3,3,3,5
32,32,13,False,"Travel_Frequently",772,77,5206,4973,"No",17,3,2,7,7,7,0,7,4,3,3,2,4,6,3,1
33,33,15,True,"Travel_Frequently",827,54,4508,3129,"No",22,4,0,14,13,7,3,8,1,3,2,29,2,4,3,1
34,34,22,False,"Non-Travel",661,60,12965,22308,"Yes",20,4,3,27,3,2,0,2,1,3,4,1,2,2,2,4
35,35,4,False,"Travel_Rarely",1395,48,7005,3458,"No",15,3,0,11,4,3,1,2,2,4,3,24,4,2,3,3
36,36,28,False,"Non-Travel",829,88,8474,20925,"No",22,4,0,12,11,8,5,8,3,3,3,1,2,2,3,1
37,37,18,False,"Travel_Rarely",933,94,2238,6961,"No",21,4,1,7,5,0,1,4,3,1,4,9,3,2,3,2
38,38,21,False,"Travel_Rarely",154,41,2329,11737,"No",15,3,0,13,7,7,5,2,2,3,2,7,2,2,4,3
39,39,23,False,"Non-Travel",142,69,8834,24666,"No",13,3,1,9,9,5,7,7,1,2,4,9,3,6,3,1
40,40,13,False,"Travel_Frequently",472,60,4298,9679,"No",19,3,1,6,2,2,2,0,3,1,3,1,2,1,3,5
41,41,18,True,"Travel_Rarely",1434,50,3441,11179,"Yes",13,3,0,2,2,2,2,2,3,3,3,5,3,3,2,1
42,42,15,False,"Travel_Rarely",819,48,5208,26312,"No",11,3,0,16,16,15,1,10,2,1,4,18,4,2,3,1
